hex_id;Geocodigo_Setor;Distrito;Intersect_Area
101x245;355030862000082;PINHEIROS;1084212339689.111
101x246;355030862000082;PINHEIROS;8752313083723.915
102x244;355030862000082;PINHEIROS;49762304919.98176
102x245;355030862000082;PINHEIROS;118680079259406.06
101x246;355030862000083;PINHEIROS;99328600733356.88
101x247;355030862000083;PINHEIROS;53607954167735.1
101x248;355030862000083;PINHEIROS;1343927032220.2224
102x246;355030862000083;PINHEIROS;21889635564273.793
101x246;355030862000084;PINHEIROS;12922871300202.84
101x247;355030862000084;PINHEIROS;22600797301034.336
102x244;355030862000084;PINHEIROS;1883858567498.5127
102x245;355030862000084;PINHEIROS;97839681690726.6
102x246;355030862000084;PINHEIROS;47822131863138.59
102x247;355030862000084;PINHEIROS;2685120989793.142
103x245;355030862000084;PINHEIROS;63999713256742.73
103x246;355030862000084;PINHEIROS;67476587902717.78
102x246;355030862000085;PINHEIROS;41656664172752.78
102x247;355030862000085;PINHEIROS;28243200617962.617
103x246;355030862000085;PINHEIROS;5691768176347.91
103x247;355030862000085;PINHEIROS;54620892828489.984
102x247;355030862000086;PINHEIROS;104337604526640.84
103x246;355030862000086;PINHEIROS;8529461164223.18
103x247;355030862000086;PINHEIROS;187791320606372.2
103x248;355030862000086;PINHEIROS;55816809183300.414
104x245;355030862000086;PINHEIROS;30892047825996.16
104x246;355030862000086;PINHEIROS;42959278985814.125
104x247;355030862000086;PINHEIROS;43295686120359.625
105x246;355030862000086;PINHEIROS;227724610118682.88
105x247;355030862000086;PINHEIROS;15280923455235.53
106x246;355030862000086;PINHEIROS;11550795308797.49
103x246;355030862000087;PINHEIROS;24820288649196.445
104x244;355030862000087;PINHEIROS;142621857877087.1
104x245;355030862000087;PINHEIROS;193167628906619.72
104x246;355030862000087;PINHEIROS;3683084564761.6313
105x244;355030862000087;PINHEIROS;39461742160813.63
105x245;355030862000087;PINHEIROS;124668979167966.53
106x244;355030862000087;PINHEIROS;2823737962302.4624
106x245;355030862000088;PINHEIROS;24987258537848.508
106x246;355030862000088;PINHEIROS;19594301312761.895
107x245;355030862000088;PINHEIROS;124433711187268.36
107x246;355030862000088;PINHEIROS;198698575806502.9
107x247;355030862000088;PINHEIROS;127382260048.90532
108x245;355030862000088;PINHEIROS;48085536834607.12
108x246;355030862000088;PINHEIROS;38788843715618.67
106x244;355030862000089;PINHEIROS;14552636904153.97
106x245;355030862000089;PINHEIROS;6131280376680.695
107x244;355030862000089;PINHEIROS;18615599014426.41
107x245;355030862000089;PINHEIROS;66508645276966.945
105x245;355030862000090;PINHEIROS;9194180549300.643
106x243;355030862000090;PINHEIROS;39337568890526.23
106x244;355030862000090;PINHEIROS;150811424179383.78
106x245;355030862000090;PINHEIROS;1044219086954.2123
107x244;355030862000090;PINHEIROS;9290986479730.326
105x244;355030862000091;PINHEIROS;10882077999175.617
106x243;355030862000091;PINHEIROS;94011897269283.36
106x244;355030862000091;PINHEIROS;2699937982072.1587
105x244;355030862000092;PINHEIROS;55341221462290.47
106x243;355030862000092;PINHEIROS;590908027158.2605
105x242;355030862000093;PINHEIROS;1662193679693.313
106x240;355030862000093;PINHEIROS;100076801104262.64
106x241;355030862000093;PINHEIROS;132289103100659.78
106x242;355030862000093;PINHEIROS;27877778864951.113
107x240;355030862000093;PINHEIROS;121349270127.20297
107x241;355030862000093;PINHEIROS;46262361648467.88
106x240;355030862000094;PINHEIROS;2274883851527.2944
107x239;355030862000094;PINHEIROS;78195709079257.31
107x240;355030862000094;PINHEIROS;144904497257152.94
107x241;355030862000094;PINHEIROS;149211339984.07797
108x238;355030862000094;PINHEIROS;3599727758.933234
108x239;355030862000094;PINHEIROS;67379368627649.414
105x237;355030862000095;PINHEIROS;252113549.73052695
106x236;355030862000095;PINHEIROS;18133083098211.227
106x237;355030862000095;PINHEIROS;50139463455721.83
107x236;355030862000095;PINHEIROS;48622577296878.664
107x237;355030862000095;PINHEIROS;212667709398754.5
107x238;355030862000095;PINHEIROS;33819501207515.594
108x237;355030862000095;PINHEIROS;2213850135163.436
106x235;355030862000096;PINHEIROS;64510608532039.47
106x236;355030862000096;PINHEIROS;93154026928421.9
107x235;355030862000096;PINHEIROS;12014039107937.781
107x236;355030862000096;PINHEIROS;91607953065210.8
107x237;355030862000096;PINHEIROS;53094150423983.04
108x236;355030862000096;PINHEIROS;32914048860866.617
108x237;355030862000096;PINHEIROS;30870880347740.066
103x235;355030862000097;PINHEIROS;34020447104326.445
103x236;355030862000097;PINHEIROS;39872545426494.12
104x234;355030862000097;PINHEIROS;194754308728232.3
104x235;355030862000097;PINHEIROS;102645460318247.4
105x234;355030862000097;PINHEIROS;19393498837161.64
105x235;355030862000097;PINHEIROS;35524090260017.21
102x233;355030862000098;PINHEIROS;13930718359063.02
103x232;355030862000098;PINHEIROS;677203332826.6205
103x233;355030862000098;PINHEIROS;203308727613578.56
103x234;355030862000098;PINHEIROS;113098258828224.22
104x232;355030862000098;PINHEIROS;10385583260145.787
104x233;355030862000098;PINHEIROS;71447894888336.8
104x234;355030862000098;PINHEIROS;14376952287991.236
105x233;355030862000098;PINHEIROS;224166235930725.66
105x234;355030862000098;PINHEIROS;249994044791992.34
106x233;355030862000098;PINHEIROS;3758733231469.6523
106x234;355030862000098;PINHEIROS;12092477829972.9
101x235;355030862000099;PINHEIROS;37475374886884.13
101x236;355030862000099;PINHEIROS;62219783643560.59
102x233;355030862000099;PINHEIROS;42593150803123.625
